A2,A3,A4,A5,A6,A7,A10,A12,A13,A14,A1,A8,A9,A11,outcome
?,?,2.0,8.0,?,106.0,7.0,?,?,164.0,?,1.0,?,?,1
80.0,?,?,8.0,8.0,35.0,?,2.0,137.0,77.0,?,?,?,?,1
?,?,?,?,?,?,?,2.0,92.0,?,?,0.0,?,?,0
163.0,?,2.0,?,4.0,?,1.0,2.0,?,1.0,0.0,?,0.0,?,0
67.0,?,1.0,1.0,?,71.0,1.0,?,98.0,1.0,?,0.0,0.0,?,0
49.0,?,2.0,8.0,4.0,4.0,1.0,2.0,1.0,?,1.0,?,0.0,0.0,0
263.0,213.0,?,11.0,8.0,6.0,?,?,?,47.0,?,?,1.0,0.0,0
?,?,?,1.0,?,?,4.0,2.0,114.0,137.0,?,?,?,?,0
?,66.0,?,1.0,?,?,1.0,?,?,?,?,?,0.0,?,0
?,46.0,?,?,3.0,?,?,?,32.0,?,0.0,?,0.0,?,0
88.0,66.0,1.0,?,?,81.0,1.0,2.0,?,?,0.0,0.0,?,?,0
?,?,1.0,3.0,?,?,1.0,2.0,?,50.0,1.0,0.0,?,?,0
?,?,1.0,1.0,?,14.0,?,?,63.0,65.0,?,?,1.0,0.0,0
242.0,102.0,2.0,8.0,?,85.0,8.0,2.0,1.0,201.0,1.0,?,1.0,0.0,1
?,?,?,?,?,?,?,?,?,1.0,?,0.0,?,1.0,0
231.0,51.0,2.0,?,?,?,?,?,149.0,1.0,?,?,1.0,1.0,1
?,49.0,2.0,2.0,4.0,?,1.0,2.0,1.0,1.0,0.0,?,?,1.0,0
?,9.0,?,?,4.0,?,1.0,?,?,?,?,?,0.0,?,1
?,?,2.0,?,8.0,?,3.0,?,?,?,0.0,1.0,1.0,0.0,1
32.0,?,1.0,?,?,?,?,2.0,?,2.0,?,?,1.0,?,0
?,?,2.0,14.0,4.0,?,?,?,?,8.0,1.0,?,1.0,?,1
?,?,2.0,?,4.0,?,?,2.0,77.0,194.0,?,?,?,?,1
?,28.0,?,14.0,4.0,?,?,2.0,?,203.0,?,1.0,1.0,1.0,1
?,82.0,2.0,?,?,23.0,1.0,?,?,1.0,?,1.0,0.0,0.0,1
?,73.0,2.0,?,?,?,?,?,32.0,?,?,1.0,1.0,0.0,1
?,?,2.0,8.0,?,?,12.0,?,69.0,200.0,?,1.0,1.0,1.0,1
?,26.0,?,12.0,?,?,1.0,2.0,?,3.0,1.0,?,0.0,1.0,0
?,?,?,?,?,20.0,?,?,63.0,1.0,1.0,0.0,0.0,?,0
?,67.0,1.0,6.0,?,7.0,1.0,?,120.0,?,0.0,?,0.0,?,1
?,?,?,?,1.0,1.0,?,2.0,?,?,1.0,0.0,?,0.0,0
134.0,85.0,2.0,8.0,?,7.0,?,?,?,?,0.0,0.0,?,?,0
196.0,?,?,?,?,14.0,?,?,?,?,1.0,0.0,?,?,0
?,30.0,?,7.0,?,?,4.0,?,?,1.0,?,1.0,1.0,?,1
268.0,123.0,1.0,?,4.0,40.0,?,2.0,?,3.0,?,?,?,?,0
289.0,?,2.0,?,?,?,?,2.0,114.0,1.0,?,?,0.0,1.0,1
?,?,2.0,8.0,?,?,1.0,?,53.0,?,?,?,?,?,0
313.0,?,2.0,1.0,1.0,125.0,?,?,9.0,?,?,?,1.0,1.0,1
?,?,?,8.0,5.0,85.0,1.0,?,98.0,1.0,?,1.0,0.0,1.0,0
65.0,?,2.0,4.0,?,39.0,?,2.0,?,161.0,?,0.0,0.0,?,0
?,72.0,?,?,8.0,24.0,1.0,2.0,?,?,0.0,1.0,?,?,1
?,?,2.0,?,?,7.0,?,2.0,?,?,?,0.0,?,?,0
?,129.0,?,?,5.0,?,?,?,1.0,213.0,1.0,1.0,?,?,1
54.0,10.0,1.0,8.0,8.0,7.0,?,?,?,78.0,?,?,?,?,0
143.0,?,1.0,?,4.0,?,1.0,2.0,?,1.0,?,?,0.0,?,0
?,?,2.0,?,4.0,?,1.0,2.0,53.0,?,?,0.0,0.0,?,0
?,?,2.0,6.0,4.0,?,1.0,?,86.0,56.0,0.0,?,0.0,1.0,0
190.0,?,2.0,?,?,?,2.0,2.0,?,?,?,1.0,?,1.0,1
?,?,?,11.0,4.0,10.0,2.0,2.0,53.0,1.0,?,1.0,1.0,0.0,0
128.0,196.0,?,10.0,9.0,?,?,2.0,?,232.0,0.0,1.0,0.0,0.0,1
348.0,204.0,1.0,1.0,?,2.0,3.0,2.0,?,102.0,?,?,?,?,0
42.0,?,?,8.0,4.0,47.0,1.0,?,?,?,1.0,?,?,?,0
21.0,?,2.0,6.0,4.0,2.0,1.0,?,?,?,?,0.0,0.0,0.0,0
?,16.0,2.0,?,8.0,11.0,?,2.0,141.0,?,0.0,?,1.0,?,1
?,102.0,?,9.0,?,117.0,1.0,2.0,?,?,1.0,1.0,0.0,?,1
?,6.0,?,?,4.0,?,3.0,2.0,107.0,?,?,?,?,1.0,0
?,?,2.0,?,4.0,?,?,2.0,1.0,?,1.0,?,?,1.0,0
255.0,?,?,?,?,?,?,2.0,?,?,1.0,?,?,1.0,1
?,?,?,?,8.0,85.0,7.0,?,148.0,1.0,1.0,?,?,1.0,1
136.0,85.0,2.0,?,?,?,?,?,?,?,?,1.0,?,?,1
?,175.0,?,11.0,?,?,9.0,?,1.0,?,0.0,?,?,?,1
?,37.0,?,2.0,4.0,?,1.0,2.0,?,?,1.0,?,?,?,1
?,55.0,2.0,?,?,37.0,?,2.0,?,?,1.0,?,1.0,0.0,1
10.0,70.0,2.0,?,4.0,?,2.0,?,?,?,?,?,1.0,0.0,0
?,192.0,2.0,1.0,1.0,1.0,?,?,?,?,0.0,1.0,1.0,1.0,1
200.0,?,?,?,?,95.0,1.0,1.0,164.0,?,?,0.0,?,?,1
?,74.0,1.0,14.0,?,?,?,2.0,20.0,1.0,?,?,?,0.0,1
?,18.0,?,?,?,?,1.0,?,?,1.0,1.0,?,0.0,0.0,0
18.0,151.0,?,9.0,?,5.0,?,2.0,38.0,?,1.0,0.0,1.0,0.0,0
?,?,2.0,9.0,?,42.0,1.0,1.0,?,?,1.0,?,?,0.0,1
188.0,?,?,?,4.0,26.0,1.0,?,?,?,1.0,?,?,1.0,0
?,?,2.0,11.0,?,?,?,?,41.0,202.0,0.0,1.0,?,?,1
?,29.0,2.0,7.0,?,3.0,1.0,1.0,?,1.0,?,1.0,?,?,0
?,175.0,?,8.0,4.0,?,?,2.0,?,?,0.0,?,1.0,?,1
185.0,40.0,?,?,?,?,1.0,2.0,?,1.0,?,?,0.0,?,0
?,?,?,2.0,?,?,?,?,53.0,?,?,1.0,1.0,?,1
?,?,1.0,1.0,1.0,?,?,2.0,?,?,1.0,0.0,1.0,0.0,0
173.0,?,?,?,?,?,?,?,?,?,1.0,0.0,?,?,0
?,50.0,2.0,?,1.0,?,?,?,111.0,2.0,0.0,?,0.0,0.0,0
?,?,?,?,?,7.0,1.0,?,?,?,?,?,?,0.0,0
?,91.0,2.0,14.0,?,3.0,1.0,2.0,156.0,?,1.0,0.0,?,?,0
43.0,?,?,?,?,?,1.0,?,69.0,1.0,1.0,0.0,?,0.0,0
?,?,2.0,3.0,5.0,?,?,?,21.0,1.0,?,0.0,?,1.0,0
207.0,109.0,?,?,5.0,85.0,1.0,?,?,?,1.0,0.0,0.0,0.0,0
?,39.0,?,?,?,?,1.0,?,32.0,1.0,?,?,?,?,0
36.0,163.0,?,8.0,5.0,?,3.0,?,69.0,8.0,?,?,?,1.0,0
165.0,?,?,2.0,4.0,?,?,?,87.0,?,?,1.0,1.0,?,1
111.0,185.0,?,?,2.0,1.0,1.0,2.0,?,?,1.0,0.0,0.0,1.0,0
?,?,?,?,?,?,?,2.0,?,?,1.0,1.0,1.0,?,1
242.0,?,2.0,7.0,4.0,73.0,1.0,?,131.0,?,?,?,0.0,1.0,0
?,82.0,?,4.0,4.0,14.0,?,2.0,84.0,?,?,0.0,0.0,?,0
70.0,?,2.0,?,4.0,?,1.0,?,47.0,?,?,?,0.0,?,0
?,66.0,?,3.0,?,26.0,?,?,73.0,?,?,0.0,?,1.0,0
?,1.0,2.0,8.0,?,?,?,3.0,?,?,1.0,0.0,?,?,1
115.0,95.0,1.0,?,5.0,?,1.0,2.0,?,?,?,0.0,?,0.0,0
320.0,?,?,?,?,126.0,18.0,?,1.0,1.0,?,?,?,?,1
?,92.0,?,1.0,?,85.0,?,?,1.0,5.0,?,?,?,?,0
?,?,?,8.0,?,58.0,1.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,1
?,?,2.0,?,8.0,24.0,?,2.0,151.0,1.0,0.0,?,?,?,1
49.0,40.0,1.0,8.0,8.0,34.0,?,2.0,45.0,79.0,?,?,?,?,0
1.0,?,1.0,?,4.0,?,?,2.0,?,?,1.0,1.0,1.0,?,1
