CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
0.09164,0.0,10.81,0.413,6.065,7.8,52.873000000000005,4.0,305.0,19.2,390.91,5.52,0.0,0
0.1146,20.0,6.96,0.46399999999999997,?,58.7,39.175,?,223.0,18.6,394.96,7.73,0.0,0
0.07165,0.0,25.65,0.581,6.004,84.1,21.974,2.0,188.0,19.1,377.67,14.27,0.0,1
347.42800000000005,0.0,18.1,0.718,8.78,?,19.047,24.0,666.0,20.2,354.55,5.29,1.0,1
383.684,0.0,18.1,0.77,6.251,91.1,22.955,24.0,?,20.2,350.65,?,0.0,1
0.02009,?,2.68,?,8.033999999999999,31.9,5.118,4.0,224.0,14.7,390.55,2.88,0.0,0
106.71799999999999,0.0,18.1,0.74,6.459,94.8,19.879,24.0,666.0,20.2,43.06,23.98,0.0,1
0.13058,0.0,10.01,?,5.872000000000001,?,24.775,6.0,432.0,?,?,15.37,0.0,1
0.40202,0.0,9.9,0.544,6.382000000000001,67.2,35.325,4.0,304.0,18.4,395.21,10.36,0.0,0
0.032369999999999996,0.0,2.18,0.45799999999999996,6.997999999999999,45.8,60.622,3.0,222.0,18.7,394.63,2.94,0.0,0
0.12757000000000002,30.0,4.93,0.428,?,?,70.355,6.0,300.0,16.6,374.71,5.19,0.0,0
215.505,0.0,19.58,0.871,5.627999999999999,100.0,15.165999999999999,5.0,403.0,14.7,169.27,?,0.0,1
119.51100000000001,0.0,18.1,0.659,?,100.0,12.852,24.0,666.0,20.2,332.09,12.13,0.0,0
?,80.0,?,0.385,6.23,31.5,90.89200000000001,1.0,241.0,?,341.6,12.93,0.0,1
918.702,0.0,18.1,0.7,5.5360000000000005,100.0,15.804,24.0,666.0,20.2,396.9,23.6,0.0,1
0.03705,20.0,3.33,0.4429,6.968,37.2,52.446999999999996,5.0,216.0,14.9,392.23,4.59,0.0,0
0.08265,?,13.92,?,6.127000000000001,18.4,?,4.0,289.0,16.0,396.9,8.58,0.0,0
100.62299999999999,0.0,18.1,?,6.832999999999999,94.3,20.881999999999998,24.0,666.0,20.2,81.33,19.69,0.0,1
0.11329000000000002,30.0,4.93,0.428,6.897,54.3,63.361000000000004,6.0,300.0,16.6,391.25,11.38,0.0,1
0.05083,?,5.19,0.515,6.316,38.1,64.584,5.0,224.0,20.2,389.71,?,0.0,1
0.05646,0.0,12.83,0.43700000000000006,6.232,53.7,50.141000000000005,5.0,398.0,18.7,386.4,12.34,?,1
0.06911,45.0,3.44,0.43700000000000006,6.739,30.8,64.798,5.0,?,15.2,389.71,4.69,0.0,0
0.21977,0.0,6.91,0.44799999999999995,?,?,60.876999999999995,3.0,233.0,17.9,396.9,16.2,0.0,1
0.01778,95.0,1.47,0.40299999999999997,7.135,13.9,76.53399999999999,3.0,402.0,17.0,?,?,0.0,0
0.06076,0.0,11.93,0.573,?,91.0,21.675,1.0,273.0,?,396.9,5.64,0.0,0
939.063,?,18.1,0.74,5.627000000000001,?,18.172,24.0,666.0,20.2,396.9,22.88,?,1
511.358,0.0,18.1,0.597,5.757000000000001,100.0,1.413,24.0,666.0,20.2,2.6,10.11,0.0,1
487.14099999999996,0.0,18.1,0.614,6.484,93.6,?,24.0,666.0,?,396.21,18.68,0.0,1
0.24103000000000002,?,7.38,0.493,?,?,54.159,5.0,287.0,?,?,12.79,0.0,1
0.10659,80.0,1.91,0.413,5.936,19.5,105.85700000000001,4.0,334.0,22.0,376.04,5.57,0.0,1
0.0566,0.0,3.41,0.489,?,86.3,?,2.0,270.0,17.8,396.9,5.5,0.0,0
?,0.0,10.59,0.489,5.412000000000001,9.8,35.875,4.0,277.0,18.6,348.93,29.55,0.0,0
0.07151,0.0,4.49,0.449,6.121,56.8,37.476,?,247.0,?,395.15,8.44,0.0,1
434.879,0.0,18.1,0.58,6.167000000000001,84.0,30.334,24.0,666.0,20.2,396.9,16.29,0.0,1
250.46099999999998,?,18.1,0.693,5.987,100.0,15.888,24.0,666.0,20.2,396.9,26.77,0.0,1
0.09068,45.0,3.44,0.43700000000000006,6.9510000000000005,21.5,?,5.0,398.0,15.2,?,?,?,0
120.48200000000001,?,?,0.614,5.648,87.6,19.512,24.0,666.0,20.2,291.55,14.1,0.0,1
0.0315,95.0,1.47,0.40299999999999997,6.975,15.3,76.53399999999999,3.0,402.0,17.0,396.9,4.56,0.0,0
0.08664,45.0,3.44,0.43700000000000006,7.178,26.3,64.798,?,398.0,15.2,390.49,2.87,0.0,0
0.32982,0.0,21.89,0.624,5.822,95.4,24.699,4.0,437.0,21.2,388.69,15.03,0.0,1
0.49298000000000003,0.0,9.9,?,?,82.5,33.175,4.0,304.0,18.4,396.9,4.54,0.0,0
286.558,0.0,18.1,0.597,5.155,100.0,15.894,?,666.0,20.2,210.97,20.08,?,1
0.06888,0.0,2.46,0.488,6.144,62.2,25.979,3.0,193.0,17.8,396.9,9.45,0.0,0
0.11027,?,5.13,?,6.456,?,72.255,?,284.0,?,396.9,6.73,0.0,1
?,0.0,4.05,?,6.546,33.1,31.323,5.0,296.0,16.6,390.96,?,0.0,0
582.401,0.0,18.1,0.532,6.242000000000001,64.7,34.242,24.0,666.0,20.2,396.9,?,0.0,0
201.019,0.0,19.58,0.605,7.928999999999999,96.2,20.459,5.0,403.0,14.7,369.3,3.7,?,0
