company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
20.938000000000002,54.75,21.875,42.875,?,28.375,66.25,18.875,43.5,1
45.25,25.0,16.5,37.375,49.875,16.375,64.0,25.375,?,1
45.875,38.375,17.5,54.875,?,24.0,81.25,27.125,?,1
28.328000000000003,52.625,?,42.875,78.125,?,70.5,20.625,?,1
26.281,53.375,22.625,?,65.0,32.25,66.0,21.125,48.75,1
25.563000000000002,49.375,21.25,39.0,63.875,29.875,63.5,?,40.75,1
26.438000000000002,50.25,20.125,40.625,83.5,26.75,67.5,21.75,43.625,1
28.891,50.75,22.25,?,73.25,32.875,72.25,21.5,45.875,1
38.0,44.875,15.5,44.25,61.5,17.25,68.875,23.0,49.25,0
52.25,27.5,?,?,43.375,22.875,75.0,?,40.625,0
29.219,50.75,22.875,42.75,74.0,?,?,22.625,47.625,1
26.281,50.75,?,?,?,25.625,68.875,20.625,41.0,1
46.5,26.0,19.875,45.625,42.5,?,68.875,27.625,37.75,0
35.922,58.375,20.375,48.875,73.875,25.625,?,23.25,49.125,0
47.0,25.625,14.75,36.125,?,16.75,63.25,24.625,39.0,0
?,?,15.25,41.25,60.25,17.375,67.25,21.625,48.375,0
?,?,21.125,40.625,?,30.75,?,21.125,?,1
?,37.875,13.875,38.75,54.5,?,60.5,21.25,?,0
41.422,36.25,13.5,39.75,52.875,17.875,?,21.5,47.875,0
27.171999999999997,50.125,20.0,41.125,84.0,26.25,68.75,21.5,44.0,1
44.875,25.375,19.25,46.0,?,18.875,68.0,26.625,36.5,0
?,53.625,19.0,49.875,67.5,21.125,81.875,27.125,46.875,0
?,52.0,18.375,47.875,68.625,?,80.625,24.375,?,0
36.828,58.0,?,50.125,70.75,?,80.375,?,48.25,0
?,?,21.5,44.875,79.0,25.625,73.375,22.25,45.5,0
48.375,?,15.625,49.375,40.5,?,77.875,?,?,0
37.578,58.25,20.0,51.5,72.375,24.375,80.75,23.875,48.375,0
37.422,57.125,21.0,?,72.625,?,78.25,24.375,47.375,0
40.75,?,15.75,38.375,?,15.875,64.625,24.375,37.625,1
57.625,32.125,16.25,?,?,?,62.125,27.0,47.125,0
?,?,15.25,49.375,?,26.75,76.375,27.875,42.125,0
?,41.875,17.875,?,50.375,25.375,80.0,27.875,42.125,1
?,56.375,20.25,45.25,84.125,26.625,69.375,?,45.25,0
27.671999999999997,50.25,?,?,67.75,30.25,?,?,44.25,1
17.891,51.375,?,44.0,?,26.125,68.125,19.125,?,1
36.281,56.5,?,45.125,78.875,26.25,69.25,22.25,44.0,0
26.438000000000002,51.375,22.125,40.125,64.0,30.0,65.875,21.0,41.875,1
39.5,?,13.875,41.75,?,?,67.125,22.875,47.5,0
45.875,46.75,19.0,58.625,55.5,?,?,25.5,42.75,1
?,40.5,13.5,41.625,?,17.75,66.625,23.125,47.625,0
33.5,56.25,20.75,43.5,78.625,26.25,68.375,21.875,42.875,0
33.422,58.125,19.875,47.625,73.0,25.5,77.875,22.75,48.375,0
34.25,57.125,21.5,47.0,73.375,25.0,77.25,22.75,?,0
27.563000000000002,50.375,?,?,76.875,28.5,?,20.625,42.0,1
?,37.5,14.375,43.75,57.25,17.125,61.75,21.625,50.25,0
?,58.75,21.0,48.125,?,?,78.125,22.75,?,0
26.109,53.0,22.5,43.875,64.375,30.0,65.125,20.875,46.375,1
43.875,44.5,19.125,57.5,50.875,?,83.5,?,44.5,0
24.671999999999997,53.375,20.625,?,60.875,29.375,64.125,?,46.5,1
?,?,?,43.25,88.875,?,69.875,22.0,45.0,1
21.063000000000002,52.5,19.125,47.25,62.25,29.875,68.875,?,47.25,1
56.875,30.625,14.25,39.75,41.625,?,61.0,?,44.25,0
27.938000000000002,50.625,20.0,44.125,?,28.125,68.375,?,?,1
20.938000000000002,54.25,24.375,44.75,61.875,30.0,66.5,20.0,50.25,1
34.828,?,?,45.125,83.5,26.75,?,22.0,?,0
47.125,?,15.5,52.125,38.375,26.25,?,27.0,39.625,0
28.063000000000002,52.125,21.375,43.375,77.75,?,70.0,20.125,42.5,1
?,37.25,14.0,41.375,55.125,?,?,?,?,0
49.0,47.0,19.5,?,?,?,?,25.5,40.5,1
52.0,28.0,17.25,52.625,45.5,23.75,?,?,40.875,0
28.828000000000003,52.0,22.75,?,?,33.125,72.25,20.375,44.125,1
46.0,20.0,?,38.125,48.875,15.125,64.25,22.375,31.5,1
38.25,58.0,20.625,51.375,70.625,?,79.0,23.75,46.75,0
46.75,39.125,15.75,?,49.375,22.125,81.625,26.25,?,1
47.625,25.25,15.5,?,50.875,17.25,64.0,25.5,?,0
?,26.75,15.75,38.125,?,14.375,58.375,26.625,?,0
39.25,?,16.125,39.75,61.5,?,68.625,21.0,49.375,0
46.125,24.75,15.75,48.125,?,24.125,?,26.5,40.375,0
?,53.0,20.25,40.75,60.125,?,61.75,?,45.25,1
?,?,14.5,46.5,41.0,25.75,75.25,?,40.75,0
27.328000000000003,50.25,?,40.75,79.5,?,?,21.75,42.25,1
34.672,?,21.875,44.875,79.0,26.0,73.125,?,45.5,0
43.875,?,?,?,50.875,?,66.25,24.5,35.875,1
?,50.875,20.0,43.75,89.75,?,?,22.375,?,1
41.422,42.75,15.25,45.125,?,17.75,67.25,22.25,48.75,0
25.719,?,23.0,45.125,64.0,?,65.25,21.5,?,1
25.828000000000003,52.75,?,?,64.0,29.0,?,20.375,47.5,1
?,52.25,18.75,48.5,68.625,19.25,80.5,23.5,46.875,0
49.0,25.5,18.0,51.0,46.125,25.25,77.25,?,?,0
33.75,60.25,?,47.75,79.25,26.625,?,22.125,?,0
30.5,53.875,?,44.625,91.875,27.25,69.0,22.0,45.125,1
27.109,?,21.25,?,?,?,67.125,20.125,44.0,1
48.25,?,?,52.375,49.75,?,?,27.75,41.25,0
38.0,45.5,15.125,41.0,60.125,17.0,66.375,21.75,48.25,0
36.922,51.0,18.375,47.25,69.25,18.5,78.0,23.625,47.0,0
31.891,?,21.25,45.75,93.0,27.5,67.375,21.875,45.0,1
21.781,55.0,20.75,?,62.75,28.875,66.75,18.625,43.0,1
?,?,21.625,43.5,?,28.625,66.5,19.0,?,1
59.25,31.75,16.375,40.625,40.875,17.75,61.125,27.25,44.75,0
34.5,56.25,20.625,43.625,?,26.25,68.375,21.875,?,0
21.609,?,?,43.625,62.875,?,66.625,18.75,42.25,1
47.422,37.125,15.5,?,56.0,?,?,21.875,50.75,0
21.063000000000002,55.5,?,?,64.875,30.75,66.125,20.25,48.625,1
58.625,26.75,16.0,?,?,?,58.875,?,43.625,0
45.375,21.125,19.875,45.5,?,18.375,?,24.5,35.875,1
48.5,20.625,15.0,39.875,?,16.125,?,25.375,?,0
44.25,23.75,16.75,?,50.125,14.875,69.5,24.375,32.25,1
29.938000000000002,53.625,22.0,45.0,91.125,27.125,67.0,20.875,44.0,1
?,?,?,?,64.875,30.25,?,21.75,47.875,1
47.5,36.875,15.75,?,50.375,27.0,79.125,27.875,39.625,1
?,57.625,?,46.25,78.5,26.25,73.5,?,45.0,0
38.922,45.625,15.625,42.625,61.0,?,66.875,?,?,0
20.781,54.625,23.75,45.5,64.625,30.875,?,?,?,1
33.609,?,22.0,44.875,78.875,25.25,?,21.875,45.125,0
22.438000000000002,?,?,41.875,61.5,29.125,62.875,18.5,44.75,1
?,38.125,?,?,?,?,83.25,?,41.125,1
34.828,?,20.25,48.375,73.25,25.5,79.25,22.5,47.5,0
58.875,35.875,16.125,44.5,44.125,18.125,64.375,27.625,?,0
?,27.0,15.75,36.5,43.75,?,62.0,26.0,40.25,0
?,41.125,19.125,51.75,54.125,?,81.0,26.75,42.125,1
39.828,58.625,?,53.25,?,?,81.0,?,47.625,0
47.125,?,15.25,38.625,?,15.625,?,?,34.25,0
30.891,53.5,21.25,?,91.625,27.625,67.875,21.75,44.875,1
49.75,42.5,18.375,52.75,?,28.0,82.0,26.375,43.375,0
29.063000000000002,50.75,21.625,43.875,90.0,29.25,69.375,22.875,45.375,1
?,30.625,20.75,50.25,?,19.875,?,?,?,1
48.078,37.875,15.625,43.5,56.5,17.0,64.875,?,?,0
46.5,34.75,?,?,?,15.375,?,24.625,46.75,0
?,21.25,19.5,42.75,27.75,16.625,67.25,23.375,35.0,1
28.891,54.0,23.125,?,79.0,35.125,72.125,21.625,44.0,1
42.328,?,?,39.75,53.125,17.625,?,21.625,?,0
42.328,?,12.875,39.25,52.125,17.0,?,21.75,47.625,0
?,?,16.125,45.75,?,?,65.0,27.875,50.0,0
44.875,44.0,18.5,58.75,59.0,?,?,27.25,?,0
21.671999999999997,?,20.625,43.125,63.875,29.625,67.0,?,43.5,1
24.109,?,20.75,45.0,62.75,29.625,?,?,47.875,1
?,52.875,?,44.125,75.75,33.375,72.5,21.0,44.0,1
?,24.875,15.0,36.625,49.625,17.25,63.625,25.25,39.5,0
19.938,52.375,23.125,44.125,61.875,29.375,65.25,19.25,48.75,1
27.171999999999997,50.875,20.125,40.375,76.0,?,69.75,21.5,43.375,1
?,?,21.375,?,78.75,26.0,71.375,?,?,0
45.25,44.0,19.5,56.75,56.375,?,84.75,27.0,44.75,0
?,58.5,20.5,47.25,?,26.125,?,22.0,45.75,0
29.328000000000003,51.625,?,43.0,74.0,33.125,73.25,22.5,46.5,1
44.375,24.625,15.125,39.25,?,16.375,65.75,25.125,36.75,1
?,56.625,?,?,85.875,26.75,69.0,22.0,45.25,0
30.719,53.75,21.125,45.0,91.125,28.0,67.875,21.875,44.5,1
26.609,50.875,20.125,40.25,82.25,26.5,?,21.625,42.5,1
29.109,53.75,21.875,45.375,90.75,27.5,66.125,21.5,43.5,1
26.281,50.25,21.75,39.0,62.75,?,65.125,19.875,?,1
35.719,57.375,22.25,45.5,79.625,24.75,71.25,22.375,45.5,0
33.5,57.25,21.625,45.375,78.875,26.625,?,22.125,?,0
59.125,29.5,14.75,39.875,42.625,?,58.5,26.25,42.5,0
21.563000000000002,58.5,23.875,?,?,?,?,?,51.0,1
26.219,?,?,?,64.25,29.375,?,21.25,48.0,1
?,51.25,22.875,42.75,72.5,32.75,72.125,21.75,47.0,1
48.875,?,?,55.75,40.625,?,?,26.875,38.875,0
?,23.75,15.0,?,?,15.875,66.625,?,37.0,1
58.5,?,19.0,42.875,36.5,?,?,27.375,?,0
?,26.25,?,48.5,41.5,?,?,26.25,40.375,0
20.891,54.875,22.625,46.25,62.375,29.75,67.625,19.625,50.375,1
45.5,40.75,?,55.875,?,?,80.0,?,42.375,1
?,49.0,18.125,44.0,69.375,?,75.375,?,?,0
34.922,?,21.0,48.5,74.75,25.875,79.25,22.875,48.625,0
37.75,58.25,?,?,?,22.875,?,23.5,?,0
?,32.0,15.75,?,41.125,27.625,80.75,26.875,37.375,0
27.219,51.25,?,40.375,?,26.25,66.875,?,?,1
?,50.625,22.25,?,?,?,71.625,22.0,?,1
33.172,59.75,?,47.75,77.25,?,?,22.25,?,0
29.781,?,21.625,45.5,91.25,?,68.0,?,44.875,1
45.75,37.625,16.125,?,48.75,?,?,27.25,?,1
28.171999999999997,51.25,?,42.25,86.375,26.625,71.5,22.0,44.5,1
46.625,38.875,15.75,57.5,49.5,22.75,81.0,26.75,39.375,1
26.828000000000003,51.5,22.0,40.25,63.75,?,67.375,20.75,?,1
31.063000000000002,54.5,?,45.125,91.375,?,67.75,?,44.375,1
39.672,40.375,?,41.75,?,17.625,65.375,23.0,47.0,0
38.672,39.25,13.25,42.0,58.25,17.5,65.0,22.375,46.875,0
26.219,49.5,22.25,?,62.0,29.875,66.0,20.375,42.25,1
?,23.125,17.875,43.375,?,18.0,?,?,33.875,0
?,56.375,?,43.875,78.75,26.375,68.375,21.875,43.25,0
48.578,?,15.5,?,57.0,15.625,65.375,22.25,51.0,0
48.25,24.875,14.5,34.375,42.625,16.75,60.625,23.875,39.0,0
20.172,?,?,42.625,?,?,?,18.125,44.25,1
46.875,25.375,15.875,37.625,?,17.25,?,25.375,39.0,0
?,?,14.5,34.5,41.375,?,61.0,23.375,?,0
37.5,52.5,18.375,48.875,68.625,?,?,24.25,?,0
48.0,?,17.75,49.625,44.875,?,75.125,27.375,42.375,0
46.375,24.0,17.0,40.5,51.375,15.625,69.375,?,35.0,1
26.563000000000002,50.25,19.625,40.0,75.125,26.25,68.0,?,41.25,1
?,50.75,22.375,42.625,73.25,?,72.875,?,45.875,1
34.828,58.0,19.75,48.625,?,25.375,77.875,22.75,48.25,0
38.922,43.25,17.125,39.75,67.5,?,69.25,20.875,44.375,0
35.672,59.125,20.125,?,73.25,25.5,79.5,23.0,48.0,0
?,54.5,20.625,43.625,61.875,29.375,64.75,?,47.25,1
21.0,54.125,24.0,?,?,31.5,65.625,19.75,48.75,1
42.328,37.0,13.25,39.75,?,17.625,62.875,22.0,46.875,0
50.5,30.0,15.5,?,43.75,?,62.75,25.25,41.25,0
24.609,54.5,?,42.875,61.25,29.625,64.75,19.75,47.875,1
46.25,44.25,20.0,?,52.0,29.0,84.375,26.875,44.125,1
?,?,15.375,55.0,?,27.75,80.5,27.5,39.75,0
?,25.0,14.5,?,?,25.75,75.5,27.125,40.5,0
25.671999999999997,53.25,22.125,42.625,64.75,31.0,65.625,21.125,?,1
50.25,45.625,19.75,52.5,?,24.0,79.0,?,42.25,1
59.0,?,15.0,41.125,42.5,18.0,64.375,28.375,46.0,0
26.171999999999997,52.75,22.25,43.125,?,30.125,65.625,21.25,46.375,1
28.891,53.5,?,45.125,?,?,66.0,21.125,42.75,1
?,51.0,19.875,42.125,88.125,27.875,?,22.5,45.125,1
35.672,58.0,20.125,?,70.75,?,?,23.25,?,0
39.828,?,?,40.375,63.5,17.625,?,21.125,?,0
25.671999999999997,?,?,?,63.5,28.75,65.125,20.75,48.0,1
47.75,31.125,15.25,?,?,28.0,81.0,26.25,39.625,0
34.281,56.75,20.625,45.25,?,27.125,69.625,22.125,44.75,0
