CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
?,?,10.81,0.413,6.065,?,?,?,305.0,?,?,?,0.0,0
0.1146,20.0,6.96,0.46399999999999997,6.537999999999999,58.7,39.175,3.0,223.0,?,?,?,0.0,0
0.07165,?,?,0.581,?,84.1,?,?,?,?,?,?,0.0,1
?,0.0,18.1,?,?,?,?,24.0,666.0,20.2,354.55,?,1.0,1
?,?,18.1,?,?,?,22.955,?,?,?,350.65,14.19,0.0,1
?,95.0,?,0.4161,8.033999999999999,?,5.118,?,224.0,?,390.55,?,0.0,0
106.71799999999999,?,?,0.74,6.459,94.8,?,24.0,?,20.2,?,?,0.0,1
?,0.0,?,0.547,5.872000000000001,73.1,24.775,?,432.0,17.8,338.63,?,0.0,1
0.40202,?,?,0.544,6.382000000000001,67.2,35.325,4.0,?,?,395.21,10.36,0.0,0
?,?,?,0.45799999999999996,?,?,?,3.0,222.0,?,?,?,?,0
0.12757000000000002,?,?,?,6.393,?,?,?,300.0,16.6,?,?,0.0,0
215.505,0.0,19.58,?,5.627999999999999,?,?,5.0,?,14.7,169.27,?,?,1
119.51100000000001,?,?,?,5.608,100.0,12.852,?,666.0,?,332.09,12.13,?,0
0.01965,80.0,1.76,0.385,?,31.5,?,1.0,241.0,18.2,341.6,12.93,?,1
?,?,18.1,0.7,5.5360000000000005,100.0,15.804,24.0,?,?,?,?,?,1
?,20.0,3.33,0.4429,6.968,?,?,?,?,?,392.23,?,?,0
?,?,?,0.43700000000000006,6.127000000000001,18.4,55.027,?,289.0,?,?,8.58,?,0
?,?,18.1,0.584,6.832999999999999,94.3,?,?,?,?,?,?,0.0,1
0.11329000000000002,30.0,4.93,?,?,?,?,?,?,16.6,391.25,?,?,1
0.05083,?,?,?,6.316,38.1,?,?,224.0,20.2,389.71,5.68,0.0,1
?,?,?,?,?,?,50.141000000000005,5.0,?,18.7,386.4,12.34,0.0,1
0.06911,?,3.44,?,?,?,?,?,398.0,?,389.71,4.69,?,0
0.21977,0.0,?,?,5.602,?,60.876999999999995,?,?,17.9,396.9,?,?,1
?,?,1.47,?,7.135,13.9,76.53399999999999,3.0,?,17.0,?,4.45,?,0
0.06076,?,?,0.573,6.976,?,21.675,?,273.0,21.0,?,5.64,0.0,0
?,?,?,0.74,5.627000000000001,93.9,?,?,?,20.2,?,22.88,?,1
?,0.0,18.1,?,?,100.0,?,24.0,?,20.2,?,10.11,?,1
487.14099999999996,0.0,18.1,?,?,?,?,?,666.0,?,396.21,18.68,0.0,1
?,?,?,?,?,43.7,?,?,?,19.6,396.9,?,0.0,1
?,?,1.91,?,5.936,?,105.85700000000001,4.0,334.0,?,?,5.57,0.0,1
?,0.0,?,?,?,86.3,?,2.0,270.0,17.8,?,?,?,0
0.28955,?,?,?,5.412000000000001,9.8,?,4.0,?,18.6,?,29.55,?,0
?,0.0,4.49,?,?,?,?,?,?,?,?,8.44,0.0,1
434.879,?,18.1,0.58,?,84.0,?,?,666.0,20.2,396.9,?,0.0,1
250.46099999999998,0.0,?,0.693,5.987,100.0,?,24.0,666.0,20.2,396.9,26.77,?,1
?,45.0,?,?,?,21.5,?,?,?,?,377.68,5.1,0.0,0
120.48200000000001,0.0,?,?,5.648,87.6,?,?,666.0,20.2,291.55,?,0.0,1
?,?,?,?,?,?,?,3.0,402.0,17.0,?,?,0.0,0
0.08664,?,3.44,?,7.178,?,?,?,398.0,?,?,2.87,?,0
0.32982,?,?,?,5.822,95.4,?,4.0,?,?,388.69,15.03,?,1
?,?,9.9,?,?,82.5,33.175,?,304.0,?,396.9,?,0.0,0
?,?,18.1,0.597,?,?,?,24.0,666.0,?,?,20.08,?,1
?,?,?,?,?,?,25.979,?,?,17.8,?,9.45,?,0
0.11027,25.0,5.13,0.45299999999999996,6.456,67.8,?,8.0,?,19.7,?,6.73,?,1
?,0.0,?,?,?,33.1,?,5.0,296.0,16.6,?,5.33,0.0,0
582.401,0.0,?,0.532,6.242000000000001,?,?,24.0,666.0,?,?,10.74,?,0
201.019,0.0,?,?,7.928999999999999,?,?,5.0,403.0,?,369.3,?,?,0
?,?,?,0.45299999999999996,5.966,?,?,8.0,?,19.7,378.08,?,0.0,1
?,20.0,6.96,?,7.691,51.8,43.665,?,?,?,390.77,6.58,?,0
?,0.0,?,?,5.349,96.0,?,?,666.0,?,396.9,?,?,1
?,?,?,0.647,5.56,62.8,?,?,264.0,13.0,?,10.45,0.0,0
?,0.0,?,0.499,?,61.4,?,?,279.0,19.2,?,11.41,?,1
?,?,25.65,0.581,?,?,?,?,188.0,?,?,17.58,0.0,1
?,12.5,?,?,5.885,33.0,?,?,?,18.9,?,?,0.0,1
0.20608,22.0,5.86,?,?,76.5,79.54899999999999,7.0,?,?,372.49,?,0.0,1
570.818,?,?,0.532,6.75,?,?,?,666.0,?,393.07,7.74,0.0,0
?,0.0,?,0.44799999999999995,?,?,57.208999999999996,?,?,17.9,?,?,0.0,0
0.09252,?,4.93,?,6.606,42.2,?,6.0,300.0,?,?,?,0.0,0
0.050589999999999996,?,4.49,0.449,?,48.0,?,3.0,247.0,?,396.9,?,0.0,0
0.15445,25.0,?,0.45299999999999996,?,?,?,8.0,?,?,?,6.86,?,0
?,?,?,0.547,5.928,88.2,24.631,?,432.0,17.8,344.91,?,0.0,1
