region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,outcome
27.0,106.0,?,0.0,?,0.611111,0.4185180000000001,1.27778,?,?,0.333333,?,1.33333,-5.55556,?,-2.55556,4.88889,?,-2.27407,0
107.0,?,9.0,0.0,0.0,?,?,?,?,126.778,?,141.889,?,-33.0,?,-12.3333,?,?,-2.37037,0
?,134.0,?,0.0,?,2.66667,3.15556,?,1.54444,6.18518,2.22222,?,4.88889,-11.8889,15.7778,-3.88889,11.4444,?,?,0
93.0,231.0,9.0,?,0.0,2.44444,?,2.66667,?,?,8.77778,?,17.0,-10.5556,-3.55556,14.1111,17.0,0.485216,2.39131,0
228.0,20.0,9.0,0.0,0.0,1.05555,?,?,?,?,114.0,140.556,?,?,46.6667,-13.6667,140.556,?,?,0
93.0,127.0,9.0,0.0,?,1.11111,0.834443,?,0.7888109999999999,3.81481,?,?,3.33333,?,8.88889,-1.44444,?,?,?,0
92.0,?,9.0,0.111111,0.0,?,?,1.16667,1.04881,?,113.444,138.111,?,-31.1111,42.8889,?,?,?,-2.36728,0
?,12.0,?,0.0,?,0.444444,?,?,1.96638,6.25926,?,11.3333,3.55556,-7.111110000000001,15.2222,-8.11111,?,0.6873020000000001,?,0
?,?,?,0.0,?,?,?,?,0.41852,69.4815,63.8889,82.5556,?,?,?,-22.4444,?,?,?,0
222.0,?,?,0.111111,0.0,?,?,?,?,113.481,?,131.444,?,-39.1111,?,?,?,0.23576,-2.37,0
166.0,65.0,9.0,0.0,?,0.777777,?,?,?,?,82.7778,?,?,?,?,-27.6667,?,?,-2.2391400000000004,0
?,?,?,?,?,0.0,0.0,?,0.0,0.0,0.0,0.0,?,?,0.0,?,?,0.0,0.0,0
?,211.0,?,0.0,0.0,?,?,2.0,?,13.6296,?,12.8889,17.2222,?,-2.22222,10.7778,?,?,2.44102,0
201.0,92.0,9.0,0.0,0.0,?,?,?,?,?,74.8889,115.444,?,-46.3333,?,-29.0,?,?,?,0
?,179.0,?,0.111111,?,?,1.53116,?,?,49.1852,44.8889,59.7778,?,?,31.7778,?,59.7778,?,?,0
73.0,?,9.0,?,0.111111,?,?,?,?,58.7037,?,?,?,?,40.5556,-23.1111,?,?,-1.99774,0
132.0,?,9.0,?,?,18.9444,?,33.4444,889.363,42.8148,?,52.6667,?,-20.7778,29.5556,?,?,0.398824,-2.34606,0
?,111.0,?,0.0,?,?,0.240741,?,0.240741,1.33333,0.0,4.0,0.0,-4.0,?,-4.0,?,?,?,0
?,?,?,0.0,0.0,0.5,?,?,0.207407,5.59259,7.111110000000001,?,3.0,4.55556,3.22222,?,?,0.579365,?,1
24.0,?,9.0,?,0.0,1.16667,0.91287,9.77778,?,?,38.0,50.3333,37.7778,?,24.8889,?,50.3333,?,-2.14372,0
121.0,60.0,9.0,?,?,2.27778,2.32963,2.88889,2.87407,26.7407,?,35.2222,20.3333,-6.22222,?,-19.2222,35.2222,?,?,1
168.0,?,?,0.0,0.0,?,?,?,?,59.5556,?,71.3333,?,-16.0,?,-19.3333,?,?,-2.03087,0
?,192.0,?,?,?,?,1.00741,?,?,9.96296,?,7.444439999999998,13.7778,-3.88889,?,?,13.7778,0.476236,1.90846,0
?,124.0,?,0.0,0.0,?,0.166667,0.388889,?,?,7.444439999999998,?,?,4.22222,?,?,7.66667,0.563492,?,1
?,89.0,9.0,?,?,?,?,6.16667,?,?,13.0,24.5556,13.4444,?,22.6667,?,24.5556,?,?,0
?,137.0,?,?,?,?,?,?,0.712325,0.740741,0.333333,?,?,-1.22222,?,?,?,0.75,?,0
?,44.0,?,?,?,?,?,2.38889,1.5296299999999998,18.7407,?,25.2222,?,?,?,-15.2222,?,0.4576810000000001,?,1
239.0,137.0,?,?,?,?,?,?,?,40.8519,39.8889,?,37.3333,-2.88889,?,-10.5556,?,?,?,0
187.0,80.0,9.0,?,0.0,?,?,1.33333,?,40.5185,37.7778,47.6667,?,?,?,?,47.6667,?,-1.9427,0
?,196.0,9.0,0.0,?,?,?,2.22222,?,?,41.7778,?,?,-16.4444,?,-17.4444,?,0.294238,?,0
150.0,94.0,?,0.0,0.0,?,?,?,?,?,?,119.222,?,-43.2222,?,?,?,?,?,0
11.0,?,9.0,?,0.0,1.77778,?,1.11111,?,?,93.8889,130.333,?,-46.1111,63.2222,-17.1111,130.333,?,?,0
?,?,?,?,0.0,?,0.16296300000000002,0.444444,?,?,6.66667,6.0,2.66667,?,?,-7.33333,6.77778,0.608466,?,1
?,138.0,?,?,?,?,0.562963,0.833333,0.3,5.74074,7.33333,?,?,4.77778,?,-7.22222,7.33333,0.543871,?,1
?,115.0,9.0,0.0,0.0,?,?,?,0.13333299999999998,6.66667,8.22222,7.888889999999999,?,4.66667,3.66667,-8.33333,?,0.5385800000000001,-0.965144,1
28.0,?,9.0,?,0.0,0.222222,0.074074,0.777778,0.207407,?,?,6.0,2.88889,?,2.44444,-6.888889999999999,6.66667,?,?,1
?,?,?,?,0.0,0.444444,0.118519,0.666667,?,?,?,5.55556,2.88889,4.66667,1.66667,-6.33333,6.66667,0.564153,-0.783647,1
?,197.0,9.0,?,?,?,3.2552,4.55556,?,?,8.88889,?,17.4444,-9.22222,-7.22222,16.4444,?,0.515187,?,0
112.0,?,9.0,0.0,?,0.555557,?,1.22222,?,?,100.778,130.111,?,-37.4444,50.5556,?,?,0.225384,?,0
213.0,?,?,0.0,0.0,?,?,?,0.327731,?,13.2222,24.6667,?,?,?,-10.7778,?,?,-2.12361,0
112.0,?,9.0,?,0.0,?,2.99382,?,?,50.3333,?,62.2222,?,-17.0,35.6667,?,?,0.29632800000000004,-2.0712200000000003,0
138.0,?,?,?,?,?,?,1.94444,?,?,50.1111,?,?,-20.8889,42.1111,?,71.1111,?,-2.08885,0
?,117.0,?,?,?,0.444444,0.207407,?,2.15185,?,?,24.1111,14.8889,?,?,-15.0,24.1111,?,?,1
127.0,57.0,9.0,0.111111,?,0.944444,?,1.61111,?,?,113.0,140.333,?,-33.7778,48.2222,?,?,?,-2.34116,0
16.0,?,9.0,0.0,?,?,0.077778,0.666667,0.311111,?,?,6.66667,3.11111,?,?,-7.33333,7.111110000000001,0.561508,-0.985811,1
?,?,9.0,?,?,2.94444,?,2.44444,?,16.4815,?,?,?,?,28.2222,?,25.8889,?,-2.3163,0
?,182.0,9.0,0.0,0.0,?,3.85556,?,?,34.9259,?,42.8889,30.4444,?,?,-13.4444,?,?,?,0
99.0,?,?,?,?,?,2.64074,?,?,21.0,?,29.2222,?,-12.6667,24.6667,?,29.2222,0.431321,-2.10936,0
?,115.0,?,?,?,0.777778,0.16296300000000002,0.722222,0.32963000000000003,?,?,6.22222,1.66667,-7.22222,?,?,6.22222,?,?,0
77.0,?,?,0.0,0.0,0.555556,0.17213699999999998,?,?,?,?,130.333,?,-41.1111,?,?,?,?,-2.38738,0
?,?,9.0,0.0,0.0,0.722224,?,0.722224,?,105.926,?,124.889,?,-42.1111,56.8889,?,?,?,?,0
?,133.0,?,0.0,?,?,?,0.444445,?,?,?,?,6.66667,?,?,?,?,?,-2.1387400000000003,0
80.0,?,9.0,0.0,0.0,?,?,0.722223,?,?,?,129.0,?,-43.4444,?,?,?,?,-2.43469,0
?,?,?,?,0.0,0.388889,0.389682,1.05556,0.64693,?,17.2222,?,29.5556,-21.1111,?,?,29.5556,0.417328,?,0
?,?,?,0.0,0.0,2.94444,7.88519,3.16667,12.4333,5.2963,?,?,3.88889,?,12.7778,?,?,0.804724,?,0
?,?,?,?,?,11.0556,?,1.11111,?,?,58.2222,78.4444,?,?,41.4444,?,?,0.27165900000000004,-2.03882,0
181.0,115.0,?,0.0,0.0,?,?,?,?,?,123.222,145.333,?,-28.6667,37.6667,?,145.333,0.152134,-2.40548,0
?,?,9.0,?,0.0,0.944444,1.16269,1.16667,?,?,24.4444,?,26.2222,-18.1111,30.8889,?,?,0.400536,-2.20716,0
219.0,176.0,9.0,0.0,0.111111,2.11111,?,?,?,60.2963,?,?,?,-20.8889,?,?,?,?,-2.03065,0
?,121.0,9.0,?,?,0.277778,0.062963,0.111111,0.074074,1.14815,?,3.33333,?,-3.44444,?,?,?,1.0,?,0
134.0,?,?,0.0,?,?,?,?,?,112.074,98.5556,?,?,-40.5556,?,-14.8889,130.556,?,-2.37321,0
?,215.0,9.0,?,?,?,?,4.72222,?,23.037,17.1111,22.5556,29.4444,-17.7778,?,?,29.4444,?,2.56105,0
212.0,?,9.0,?,?,?,1.29386,?,?,23.2593,?,?,28.5556,?,0.555556,?,28.5556,0.378216,2.6426,0
