company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
20.938,54.75,21.875,42.875,?,28.375,66.25,18.875,43.5,1
45.25,25.0,16.5,?,?,16.375,64.0,25.375,39.0,1
45.875,38.375,?,?,47.25,?,81.25,27.125,?,1
28.328000000000007,52.625,22.5,42.875,78.125,34.5,70.5,?,42.25,1
26.281,?,22.625,43.625,65.0,32.25,66.0,21.125,48.75,1
25.563,49.375,21.25,?,63.875,29.875,63.5,19.625,40.75,1
26.438,?,20.125,?,83.5,26.75,67.5,?,43.625,1
28.891,50.75,?,?,73.25,32.875,72.25,?,45.875,1
38.0,44.875,15.5,44.25,61.5,17.25,68.875,23.0,49.25,0
52.25,27.5,17.375,?,?,?,75.0,27.875,?,0
29.219,50.75,22.875,42.75,74.0,32.625,73.75,22.625,47.625,1
26.281,50.75,19.5,39.5,75.0,25.625,68.875,?,?,1
46.5,26.0,19.875,45.625,42.5,18.875,68.875,27.625,37.75,0
35.922,58.375,20.375,48.875,73.875,25.625,79.5,23.25,?,0
47.0,25.625,14.75,?,?,?,?,24.625,?,0
39.0,46.25,?,41.25,?,17.375,67.25,?,48.375,0
?,?,21.125,40.625,77.375,30.75,71.625,?,?,1
43.328,37.875,13.875,38.75,54.5,16.25,60.5,?,?,0
41.422,36.25,13.5,?,52.875,17.875,60.625,21.5,47.875,0
27.172,50.125,20.0,41.125,84.0,26.25,68.75,?,44.0,1
44.875,25.375,19.25,46.0,?,18.875,?,26.625,?,0
38.422,53.625,19.0,49.875,67.5,21.125,81.875,27.125,46.875,0
37.328,52.0,18.375,47.875,68.625,18.75,80.625,24.375,47.125,0
36.828,58.0,20.375,50.125,70.75,?,80.375,23.375,48.25,0
34.172,57.125,21.5,44.875,79.0,25.625,73.375,?,?,0
48.375,23.875,15.625,?,40.5,26.125,?,28.875,?,0
37.578,58.25,20.0,51.5,72.375,24.375,80.75,23.875,48.375,0
37.422,57.125,21.0,49.5,72.625,23.75,78.25,24.375,?,0
40.75,24.25,15.75,?,?,15.875,64.625,24.375,?,1
57.625,32.125,16.25,41.75,34.875,18.25,?,27.0,?,0
?,?,?,?,40.75,?,?,27.875,?,0
45.75,41.875,17.875,55.875,50.375,?,?,27.875,?,1
32.891,56.375,20.25,45.25,84.125,26.625,69.375,21.875,45.25,0
27.672,?,21.5,41.875,67.75,30.25,69.625,?,44.25,1
17.891,51.375,19.625,44.0,62.0,26.125,68.125,19.125,48.75,1
36.281,?,20.875,45.125,78.875,26.25,69.25,22.25,?,0
26.438,51.375,22.125,40.125,64.0,30.0,65.875,21.0,41.875,1
39.5,40.75,?,41.75,60.25,?,67.125,?,47.5,0
45.875,46.75,?,58.625,55.5,30.5,87.25,25.5,?,1
39.328,40.5,13.5,41.625,59.875,17.75,66.625,23.125,47.625,0
33.5,?,20.75,43.5,78.625,?,68.375,21.875,42.875,0
33.422,?,19.875,47.625,73.0,25.5,77.875,22.75,48.375,0
34.25,57.125,21.5,47.0,73.375,25.0,?,22.75,48.5,0
27.563,?,20.875,?,76.875,28.5,71.0,20.625,42.0,1
