CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,CHAS,outcome
?,0.0,?,0.413,6.065,7.8,?,4.0,305.0,?,390.91,?,0.0,0
?,20.0,?,0.464,6.5379999999999985,58.7,?,3.0,223.0,?,?,?,0.0,0
0.07165,0.0,?,?,6.004,?,21.974,2.0,?,19.1,377.67,?,0.0,1
?,0.0,?,?,8.78,82.9,?,24.0,666.0,?,354.55,5.29,?,1
383.684,0.0,18.1,?,?,?,?,24.0,666.0,?,350.65,?,?,1
?,?,2.68,0.4161,?,?,?,4.0,224.0,14.7,390.55,2.88,0.0,0
?,?,?,?,?,94.8,?,?,666.0,20.2,?,23.98,?,1
0.13058,?,10.01,0.547,?,73.1,?,6.0,?,?,?,15.37,?,1
0.40202,0.0,9.9,0.544,6.3820000000000014,?,35.325,?,?,?,395.21,10.36,?,0
0.03237,0.0,2.18,0.458,6.997999999999998,?,60.622,?,222.0,18.7,394.63,2.94,0.0,0
?,30.0,?,0.428,6.393,?,?,?,?,?,?,?,?,0
?,0.0,?,?,?,?,15.166,?,403.0,14.7,?,16.65,?,1
?,?,18.1,?,5.608,?,12.852,24.0,?,?,?,12.13,?,0
0.01965,?,1.76,?,?,31.5,?,?,241.0,?,?,?,0.0,1
?,?,?,0.7,?,100.0,?,24.0,666.0,20.2,?,23.6,?,1
0.03705,?,3.33,?,6.968,37.2,?,5.0,216.0,14.9,?,4.59,0.0,0
0.08265,?,13.92,?,6.127000000000002,18.4,?,4.0,?,16.0,396.9,?,0.0,0
100.623,?,18.1,?,?,94.3,?,24.0,666.0,?,?,?,0.0,1
?,30.0,?,0.428,?,54.3,63.361,?,?,?,391.25,?,?,1
?,0.0,5.19,?,6.316,?,64.584,5.0,224.0,20.2,389.71,?,0.0,1
0.05646,0.0,12.83,0.4370000000000001,?,?,?,?,?,?,?,?,?,1
0.06911,?,3.44,0.4370000000000001,6.739,?,?,5.0,398.0,?,?,?,0.0,0
0.21977,0.0,6.91,?,?,?,?,?,?,17.9,396.9,?,0.0,1
0.01778,95.0,1.47,0.403,?,?,?,?,?,?,?,?,?,0
0.06076,?,11.93,?,6.976,?,?,?,?,?,396.9,?,0.0,0
?,?,?,?,?,?,18.172,24.0,666.0,20.2,?,22.88,?,1
?,?,?,?,?,100.0,1.413,24.0,666.0,20.2,2.6,10.11,0.0,1
?,?,?,?,?,93.6,23.053,24.0,666.0,?,?,18.68,?,1
?,?,?,?,?,43.7,?,?,?,?,396.9,?,0.0,1
0.10659,?,?,0.413,5.936,?,?,?,?,22.0,376.04,?,?,1
?,0.0,?,?,?,?,34.217,?,270.0,17.8,396.9,?,0.0,0
0.28955,?,10.59,?,5.412000000000001,?,?,?,277.0,?,?,?,?,0
0.07151,0.0,4.49,?,6.121,?,37.476,?,?,?,?,8.44,0.0,1
434.879,?,18.1,?,?,84.0,30.334,?,666.0,?,?,?,?,1
?,?,18.1,0.693,?,?,?,24.0,?,?,?,26.77,?,1
0.09068,45.0,3.44,?,6.9510000000000005,21.5,?,5.0,?,15.2,?,?,?,0
?,?,?,?,5.648,87.6,19.512,?,666.0,?,291.55,14.1,?,1
?,?,1.47,0.403,6.975,?,76.53399999999998,3.0,402.0,17.0,?,?,0.0,0
0.08664,45.0,?,0.4370000000000001,?,?,?,5.0,398.0,?,?,?,?,0
0.32982,0.0,?,?,5.822,95.4,24.699,4.0,437.0,?,388.69,?,0.0,1
0.49298,0.0,?,?,6.635,82.5,33.175,?,304.0,18.4,396.9,?,?,0
?,?,?,?,?,?,?,?,666.0,?,?,20.08,0.0,1
0.06888,?,2.46,?,?,?,25.979,3.0,?,17.8,?,?,0.0,0
?,25.0,5.13,0.453,?,?,72.255,8.0,284.0,19.7,396.9,6.73,0.0,1
0.06663999999999999,0.0,4.05,0.51,?,33.1,?,?,?,16.6,?,?,0.0,0
?,0.0,?,0.532,?,?,?,24.0,666.0,?,?,?,?,0
201.019,?,19.58,?,7.9289999999999985,?,20.459,5.0,403.0,?,?,3.7,0.0,0
0.17171,25.0,?,?,?,?,?,?,284.0,19.7,378.08,?,0.0,1
0.22188,?,?,?,?,?,?,?,223.0,18.6,?,?,1.0,0
?,?,?,?,?,?,?,24.0,?,?,396.9,19.77,?,1
0.76162,?,3.97,?,?,?,19.865,5.0,?,?,392.4,?,?,0
0.09744,?,5.96,?,?,61.4,33.779,5.0,?,?,?,?,0.0,1
?,0.0,?,?,?,?,20.063,?,?,19.1,?,?,?,1
0.12816,12.5,6.07,0.409,5.885,33.0,?,4.0,?,18.9,?,8.79,0.0,1
0.20608,?,?,?,5.593,?,?,?,330.0,19.1,?,?,0.0,1
570.818,0.0,18.1,?,?,74.9,?,24.0,666.0,?,?,7.74,0.0,0
0.12744,0.0,?,0.448,6.77,?,57.209,?,233.0,17.9,?,4.84,0.0,0
0.09252,?,4.93,?,6.606,?,61.899,?,?,16.6,383.78,?,0.0,0
?,0.0,4.49,0.449,6.3889999999999985,48.0,47.794,3.0,247.0,?,396.9,?,?,0
?,?,?,0.453,6.145,29.2,78.148,?,?,?,?,?,0.0,0
?,0.0,?,0.547,?,88.2,24.631,6.0,?,?,344.91,15.76,0.0,1
0.80271,0.0,8.14,0.5379999999999999,5.456,36.6,?,4.0,?,?,288.99,?,?,1
0.0578,0.0,?,0.488,?,58.4,?,?,193.0,17.8,?,5.04,0.0,0
?,?,?,?,?,?,?,?,666.0,?,68.95,34.02,0.0,1
?,?,?,0.871,5.709,?,16.232,5.0,403.0,?,?,15.79,0.0,1
?,0.0,18.1,?,?,?,?,?,?,?,396.9,?,?,1
?,0.0,?,?,?,100.0,11.691,24.0,?,?,366.15,?,0.0,0
?,?,?,0.532,?,?,?,24.0,?,?,?,7.01,?,0
0.97617,0.0,21.89,?,5.7570000000000014,?,2.346,?,437.0,21.2,262.76,17.31,0.0,1
0.04379,?,3.37,?,5.787000000000001,31.1,?,?,?,16.1,396.9,?,0.0,1
0.98843,?,8.14,0.5379999999999999,?,100.0,40.952,4.0,307.0,?,394.54,19.88,?,1
0.04297,?,?,0.405,?,22.9,?,6.0,?,16.6,?,?,?,0
0.52693,?,?,0.504,?,?,?,8.0,?,?,?,?,0.0,0
