A2,A3,A4,A5,A6,A7,A10,A12,A13,A14,A1,A8,A9,A11,outcome
282.0,132.0,2.0,?,?,106.0,7.0,?,1.0,164.0,?,?,1.0,?,1
?,46.0,?,8.0,?,?,1.0,?,?,?,1.0,?,0.0,?,1
?,?,1.0,?,2.0,?,?,2.0,?,?,0.0,?,0.0,0.0,0
?,82.0,?,?,4.0,?,1.0,?,?,?,0.0,1.0,?,1.0,0
?,?,?,1.0,?,?,?,2.0,?,1.0,?,0.0,0.0,0.0,0
?,14.0,?,8.0,?,4.0,?,?,1.0,?,1.0,0.0,0.0,0.0,0
263.0,213.0,2.0,?,8.0,?,2.0,?,?,47.0,?,1.0,?,0.0,0
39.0,?,?,1.0,?,1.0,4.0,?,?,?,1.0,0.0,1.0,?,0
77.0,66.0,2.0,1.0,?,3.0,1.0,?,32.0,?,1.0,?,0.0,?,0
291.0,46.0,2.0,5.0,?,?,?,?,32.0,26.0,?,1.0,?,?,0
?,66.0,?,?,?,81.0,?,2.0,?,111.0,0.0,?,0.0,?,0
53.0,?,1.0,?,8.0,2.0,1.0,?,45.0,?,1.0,0.0,0.0,0.0,0
90.0,?,1.0,?,?,14.0,4.0,?,?,?,0.0,?,?,0.0,0
242.0,?,?,?,?,?,?,?,?,201.0,1.0,?,?,?,1
?,66.0,?,?,4.0,43.0,?,2.0,?,1.0,?,?,?,1.0,0
?,51.0,?,?,4.0,?,6.0,2.0,?,?,?,?,?,1.0,1
?,49.0,2.0,2.0,?,?,1.0,?,1.0,1.0,0.0,?,0.0,?,0
?,9.0,2.0,?,?,3.0,?,2.0,98.0,1.0,1.0,?,0.0,?,1
?,?,?,?,8.0,37.0,3.0,2.0,?,?,?,?,1.0,0.0,1
?,?,?,8.0,?,5.0,2.0,2.0,?,?,1.0,0.0,1.0,0.0,0
?,?,?,?,4.0,84.0,?,2.0,?,8.0,?,?,1.0,?,1
49.0,?,?,?,?,49.0,?,?,77.0,?,?,?,?,?,1
?,?,2.0,?,?,33.0,9.0,?,?,203.0,1.0,?,1.0,?,1
?,82.0,2.0,9.0,4.0,?,1.0,1.0,98.0,1.0,?,1.0,0.0,?,1
