height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,outcome
8.0,?,216.0,?,0.218,?,2.24,?,184.0,21.0,1
12.0,1.0,12.0,0.083,?,1.0,12.0,12.0,?,1.0,0
5.0,13.0,?,2.6,0.4,?,1.18,26.0,65.0,22.0,1
14.0,421.0,5894.0,30.071,0.379,0.581,?,2236.0,3424.0,466.0,1
10.0,?,1220.0,12.2,0.273,0.54,2.03,333.0,?,164.0,1
9.0,109.0,981.0,12.111,0.243,0.848,?,238.0,832.0,151.0,1
?,108.0,972.0,12.0,0.449,0.868,2.55,436.0,844.0,171.0,1
7.0,58.0,406.0,8.286,0.212,0.8420000000000001,2.26,86.0,342.0,38.0,1
10.0,?,800.0,?,0.275,0.435,3.93,220.0,348.0,56.0,1
8.0,7.0,56.0,?,0.393,0.946,2.0,22.0,53.0,11.0,1
8.0,186.0,1488.0,23.25,0.399,0.812,2.53,593.0,1208.0,234.0,1
?,2.0,14.0,0.28600000000000003,0.7140000000000001,0.7140000000000001,10.0,10.0,10.0,1.0,1
7.0,46.0,322.0,6.5710000000000015,0.155,0.5870000000000001,?,?,189.0,12.0,1
8.0,29.0,232.0,3.625,0.341,0.78,1.93,79.0,181.0,41.0,1
25.0,186.0,4650.0,7.44,0.478,0.953,?,2221.0,?,310.0,1
5.0,32.0,160.0,?,0.35,0.863,1.33,56.0,138.0,42.0,1
?,180.0,1620.0,20.0,0.343,?,2.47,555.0,1196.0,225.0,1
?,13.0,78.0,2.167,?,0.897,?,?,?,14.0,1
12.0,104.0,1248.0,8.667,?,0.758,?,418.0,946.0,?,1
6.0,45.0,?,7.5,0.456,0.967,1.64,123.0,261.0,?,1
1.0,27.0,27.0,27.0,0.259,1.0,1.4,7.0,27.0,5.0,0
8.0,31.0,248.0,3.875,0.298,0.871,1.45,74.0,216.0,51.0,1
8.0,10.0,80.0,1.25,0.28800000000000003,0.813,1.64,23.0,?,14.0,1
7.0,31.0,?,4.4289999999999985,0.295,0.857,1.64,64.0,186.0,39.0,1
14.0,38.0,532.0,2.714,?,0.489,2.95,130.0,?,44.0,1
14.0,153.0,2142.0,10.929,0.38,0.643,4.44,813.0,1378.0,183.0,1
5.0,75.0,375.0,15.0,0.259,0.867,?,97.0,325.0,82.0,1
3.0,3.0,9.0,?,0.889,?,8.0,?,8.0,1.0,1
11.0,427.0,4697.0,38.81800000000001,?,0.57,189.79,2657.0,2676.0,14.0,0
7.0,38.0,?,5.4289999999999985,0.308,0.789,?,82.0,210.0,53.0,1
8.0,58.0,464.0,7.25,0.442,0.903,3.15,205.0,?,65.0,1
9.0,43.0,387.0,?,0.47,0.948,3.31,182.0,367.0,55.0,1
?,538.0,1614.0,179.33,0.37,0.424,22.11,597.0,685.0,27.0,0
9.0,36.0,324.0,4.0,0.349,0.7070000000000001,1.82,?,229.0,62.0,1
2.0,101.0,202.0,50.5,0.54,0.743,10.9,?,150.0,10.0,0
8.0,?,216.0,3.375,0.236,?,1.31,51.0,148.0,39.0,1
8.0,112.0,896.0,?,0.17,0.7859999999999999,1.27,152.0,?,120.0,1
10.0,12.0,120.0,1.2,0.333,0.958,1.82,40.0,115.0,22.0,1
7.0,?,700.0,14.286,0.28300000000000003,0.987,1.68,198.0,691.0,118.0,1
12.0,71.0,852.0,5.917000000000002,0.631,0.904,6.64,538.0,?,81.0,1
?,14.0,112.0,1.75,0.518,?,3.22,58.0,108.0,18.0,1
12.0,118.0,1416.0,9.833,0.35,0.778,2.98,495.0,1102.0,166.0,1
?,66.0,462.0,9.429,0.171,0.903,1.49,79.0,417.0,53.0,1
7.0,13.0,91.0,1.857,0.242,0.912,1.47,22.0,83.0,15.0,1
5.0,3.0,?,0.6,0.6,0.933,3.0,9.0,14.0,3.0,1
34.0,27.0,918.0,?,0.219,0.5539999999999999,3.09,201.0,509.0,65.0,0
9.0,17.0,153.0,1.889,0.235,0.647,1.44,36.0,99.0,25.0,1
11.0,?,88.0,?,0.443,0.466,?,39.0,41.0,1.0,1
9.0,16.0,144.0,?,0.208,0.715,1.5,30.0,103.0,20.0,1
63.0,66.0,4158.0,?,0.491,0.591,44.37,2041.0,2458.0,?,0
?,?,357.0,7.286,0.28300000000000003,0.91,1.35,101.0,325.0,75.0,1
21.0,68.0,?,3.238,0.052000000000000005,0.109,5.69,74.0,156.0,13.0,0
8.0,17.0,136.0,2.125,0.265,0.5660000000000001,1.71,36.0,77.0,21.0,1
9.0,107.0,963.0,11.889,?,0.65,2.59,357.0,626.0,138.0,1
11.0,103.0,1133.0,9.364,0.156,0.5760000000000001,1.44,177.0,653.0,123.0,1
7.0,35.0,245.0,?,?,1.0,1.55,76.0,245.0,49.0,1
28.0,?,2296.0,2.929,0.271,0.39,8.9,623.0,?,?,1
7.0,15.0,105.0,?,0.114,0.295,2.4,12.0,31.0,5.0,0
6.0,10.0,60.0,1.6669999999999998,0.4,0.967,1.5,24.0,58.0,16.0,1
9.0,150.0,1350.0,16.667,?,0.579,1.75,320.0,782.0,183.0,1
9.0,24.0,216.0,2.667,0.35600000000000004,0.907,2.2,?,196.0,35.0,1
1.0,35.0,35.0,35.0,0.8290000000000001,1.0,9.67,29.0,35.0,3.0,0
11.0,288.0,3168.0,26.182,?,0.5,2.04,787.0,?,386.0,1
10.0,34.0,?,3.4,0.303,0.815,1.84,103.0,277.0,56.0,1
8.0,71.0,568.0,8.875,0.407,0.903,2.06,231.0,513.0,112.0,1
?,143.0,1430.0,14.3,0.355,0.775,2.33,508.0,1108.0,218.0,1
10.0,36.0,360.0,3.6,0.3670000000000001,0.8440000000000001,2.24,132.0,304.0,59.0,1
7.0,?,224.0,4.5710000000000015,0.232,0.804,1.3,52.0,180.0,40.0,1
14.0,371.0,5194.0,26.5,0.38,0.59,4.85,1975.0,3066.0,407.0,1
7.0,86.0,?,12.286,0.281,0.958,1.55,169.0,577.0,109.0,1
9.0,166.0,1494.0,18.444000000000006,?,0.75,2.95,576.0,?,195.0,1
10.0,9.0,90.0,0.9,0.222,1.0,1.25,20.0,?,16.0,1
9.0,111.0,999.0,12.333,0.218,0.81,1.7,218.0,809.0,128.0,1
9.0,55.0,495.0,6.1110000000000015,0.259,0.6990000000000001,1.47,128.0,346.0,87.0,1
15.0,136.0,2040.0,9.067,0.24,0.748,2.81,489.0,1526.0,174.0,1
11.0,11.0,121.0,1.0,0.388,0.818,2.24,47.0,99.0,21.0,1
11.0,60.0,660.0,5.455,0.32,0.608,2.01,211.0,401.0,105.0,1
4.0,11.0,44.0,2.75,0.4320000000000001,1.0,1.36,19.0,44.0,14.0,1
?,375.0,4875.0,28.846,0.154,0.519,?,751.0,?,521.0,1
7.0,7.0,49.0,1.0,0.34700000000000003,0.939,1.89,17.0,46.0,9.0,1
3.0,27.0,?,9.0,0.481,0.926,1.77,39.0,75.0,22.0,1
2.0,?,12.0,3.0,0.667,1.0,4.0,8.0,12.0,2.0,0
9.0,23.0,207.0,2.556,0.213,0.507,1.57,44.0,105.0,28.0,1
9.0,?,990.0,12.222,0.311,0.627,2.08,308.0,621.0,148.0,1
?,157.0,1413.0,17.444000000000006,0.222,0.54,?,313.0,763.0,198.0,1
9.0,?,1548.0,19.111,0.16699999999999998,0.6779999999999999,1.28,258.0,1050.0,202.0,1
9.0,81.0,729.0,9.0,?,0.918,1.97,246.0,669.0,125.0,1
8.0,298.0,2384.0,37.25,0.242,0.7909999999999999,?,576.0,?,383.0,1
14.0,227.0,3178.0,16.214000000000002,?,0.8390000000000001,?,754.0,2667.0,226.0,1
7.0,16.0,112.0,?,0.259,1.0,2.07,29.0,112.0,14.0,1
8.0,40.0,320.0,5.0,0.481,0.988,2.61,154.0,316.0,59.0,1
10.0,?,210.0,2.1,0.362,0.8190000000000001,2.11,76.0,172.0,?,1
8.0,152.0,1216.0,19.0,0.27,0.623,2.0,328.0,757.0,?,1
10.0,9.0,?,0.9,0.333,0.878,2.5,30.0,79.0,12.0,1
9.0,133.0,1197.0,14.778,0.236,0.718,1.89,283.0,859.0,150.0,1
7.0,141.0,?,20.143,0.16,0.757,?,158.0,747.0,135.0,1
14.0,348.0,4872.0,24.857,0.16899999999999998,0.6759999999999999,1.56,822.0,3293.0,526.0,1
6.0,17.0,?,2.833,?,0.745,2.56,46.0,76.0,18.0,1
8.0,127.0,1016.0,15.875,0.314,0.825,1.98,319.0,838.0,161.0,1
8.0,83.0,664.0,?,?,0.955,2.17,195.0,634.0,90.0,1
9.0,64.0,?,7.1110000000000015,0.345,0.6940000000000001,2.29,199.0,400.0,87.0,1
1.0,32.0,32.0,?,0.469,1.0,1.88,15.0,32.0,?,0
82.0,314.0,25748.0,3.829,?,?,?,7618.0,?,?,1
?,6.0,12.0,?,0.667,1.0,4.0,8.0,12.0,2.0,0
?,284.0,2556.0,31.556,0.141,0.601,1.26,361.0,1537.0,286.0,1
10.0,90.0,900.0,9.0,0.501,?,3.92,451.0,781.0,115.0,1
8.0,7.0,56.0,0.875,0.482,0.946,2.45,27.0,53.0,?,1
7.0,11.0,77.0,1.571,0.221,0.922,1.21,17.0,71.0,14.0,1
11.0,?,1474.0,12.182,0.28600000000000003,0.777,2.36,422.0,1145.0,?,1
9.0,73.0,657.0,8.111,0.174,0.434,1.44,114.0,285.0,79.0,1
6.0,47.0,282.0,7.832999999999998,0.202,0.202,57.0,?,57.0,1.0,0
8.0,82.0,656.0,10.25,0.393,0.764,2.41,258.0,501.0,107.0,1
?,107.0,?,21.4,0.247,0.91,?,132.0,487.0,92.0,1
1.0,18.0,18.0,18.0,0.944,1.0,17.0,17.0,18.0,1.0,0
11.0,205.0,2255.0,18.636,0.371,0.7170000000000001,3.01,837.0,?,278.0,1
9.0,347.0,3123.0,38.556,0.111,0.433,1.26,347.0,1351.0,275.0,1
14.0,125.0,1750.0,8.929,0.289,0.7340000000000001,2.21,505.0,1285.0,228.0,1
11.0,7.0,77.0,0.636,0.597,1.0,5.75,46.0,?,8.0,1
7.0,17.0,119.0,2.4290000000000003,0.319,0.933,?,38.0,111.0,27.0,1
1.0,42.0,?,42.0,0.381,1.0,1.07,16.0,42.0,?,1
6.0,29.0,174.0,4.833,0.339,0.8740000000000001,?,59.0,152.0,39.0,1
9.0,238.0,2142.0,26.444000000000006,0.168,0.614,1.26,359.0,1316.0,285.0,1
8.0,12.0,?,1.5,0.396,0.969,1.65,38.0,93.0,23.0,1
2.0,19.0,38.0,9.5,0.237,1.0,1.8,9.0,38.0,5.0,1
12.0,272.0,3264.0,22.667,?,?,1.8,715.0,?,397.0,1
91.0,285.0,25935.0,3.132,?,?,?,4100.0,?,36.0,0
?,34.0,306.0,3.778,0.32,0.8859999999999999,?,98.0,271.0,63.0,1
8.0,13.0,104.0,1.625,0.404,0.99,2.1,42.0,103.0,20.0,1
?,9.0,72.0,1.125,0.431,0.903,2.07,31.0,65.0,15.0,1
7.0,32.0,224.0,4.5710000000000015,0.272,0.862,1.53,?,193.0,40.0,1
10.0,242.0,2420.0,24.2,0.26,0.579,?,630.0,1401.0,303.0,1
?,29.0,435.0,1.933,0.524,0.97,4.15,228.0,422.0,55.0,1
4.0,19.0,76.0,4.75,0.421,0.921,1.78,32.0,70.0,18.0,1
6.0,40.0,?,6.667000000000002,0.221,0.983,1.26,53.0,?,42.0,1
5.0,4.0,?,0.8,0.7,1.0,2.33,14.0,20.0,6.0,1
8.0,47.0,376.0,5.875,0.221,0.7020000000000001,?,?,264.0,?,1
13.0,228.0,2964.0,?,0.264,0.942,3.29,783.0,?,238.0,1
11.0,228.0,2508.0,20.727,0.282,0.621,2.96,708.0,1558.0,239.0,1
?,98.0,980.0,9.8,0.463,0.945,2.72,454.0,926.0,167.0,1
8.0,35.0,280.0,4.375,?,0.775,1.76,90.0,217.0,51.0,1
8.0,37.0,296.0,?,0.334,0.993,1.29,99.0,294.0,77.0,1
7.0,42.0,294.0,6.0,0.235,0.5710000000000001,1.33,?,168.0,52.0,1
28.0,330.0,9240.0,11.786,0.057,0.066,31.0,527.0,?,17.0,0
8.0,45.0,360.0,5.625,0.156,0.725,1.87,56.0,261.0,30.0,1
7.0,1.0,?,0.14300000000000002,1.0,1.0,7.0,7.0,7.0,1.0,0
10.0,162.0,1620.0,16.2,?,0.573,5.93,735.0,928.0,?,1
