company1,company2,company3,company4,company5,company6,company7,company8,company9,outcome
20.938,?,21.875,42.875,64.75,28.375,66.25,18.875,?,1
45.25,?,?,37.375,49.875,?,64.0,25.375,?,1
?,38.375,?,54.875,?,?,81.25,?,?,1
28.328000000000007,?,22.5,42.875,?,?,70.5,20.625,?,1
26.281,?,?,?,65.0,32.25,66.0,21.125,?,1
?,49.375,21.25,39.0,63.875,?,63.5,19.625,?,1
?,50.25,20.125,40.625,83.5,26.75,67.5,21.75,43.625,1
28.891,50.75,?,?,73.25,32.875,72.25,21.5,?,1
?,44.875,?,44.25,?,?,68.875,23.0,?,0
52.25,27.5,17.375,?,?,?,?,?,?,0
29.219,50.75,?,42.75,?,32.625,73.75,?,47.625,1
?,?,?,39.5,75.0,25.625,?,?,41.0,1
?,26.0,19.875,45.625,42.5,?,68.875,27.625,37.75,0
?,58.375,20.375,48.875,?,?,?,23.25,?,0
47.0,?,14.75,?,?,?,63.25,?,?,0
?,?,15.25,?,60.25,17.375,67.25,?,48.375,0
28.063,?,?,40.625,?,30.75,71.625,?,43.0,1
?,?,13.875,?,?,?,60.5,21.25,50.0,0
?,36.25,13.5,?,52.875,?,?,?,?,0
?,?,20.0,41.125,84.0,?,?,?,?,1
44.875,25.375,19.25,46.0,?,?,68.0,?,?,0
?,53.625,?,49.875,?,21.125,?,27.125,46.875,0
?,?,?,47.875,?,?,?,?,47.125,0
?,58.0,?,50.125,70.75,25.0,?,?,48.25,0
34.172,?,?,44.875,79.0,?,?,?,45.5,0
48.375,?,15.625,?,?,?,?,28.875,?,0
37.578,58.25,?,51.5,72.375,24.375,?,23.875,48.375,0
?,?,?,49.5,72.625,23.75,?,24.375,47.375,0
40.75,?,15.75,?,47.375,?,64.625,24.375,?,1
57.625,32.125,16.25,?,?,?,62.125,?,?,0
?,?,15.25,?,?,26.75,?,27.875,42.125,0
45.75,41.875,17.875,55.875,?,?,?,27.875,42.125,1
?,?,?,45.25,?,?,?,21.875,45.25,0
27.672,?,?,?,?,?,?,21.875,?,1
?,?,19.625,?,62.0,26.125,?,19.125,?,1
36.281,?,?,45.125,78.875,26.25,?,?,44.0,0
?,?,?,40.125,?,30.0,?,?,41.875,1
?,?,13.875,?,60.25,?,?,?,47.5,0
45.875,46.75,?,58.625,?,?,87.25,?,?,1
?,40.5,?,41.625,59.875,17.75,?,?,47.625,0
?,56.25,?,43.5,?,26.25,?,21.875,42.875,0
