height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,outcome
8.0,?,?,3.375,0.218,?,2.24,?,184.0,21.0,1
12.0,1.0,12.0,?,1.0,?,12.0,12.0,12.0,1.0,0
?,13.0,65.0,?,0.4,1.0,?,?,65.0,22.0,1
14.0,421.0,?,30.071,?,0.581,4.8,?,?,?,1
?,122.0,1220.0,12.2,?,0.54,2.03,333.0,?,?,1
?,109.0,981.0,?,0.243,0.848,1.58,?,?,151.0,1
?,?,972.0,12.0,0.449,?,?,?,?,171.0,1
7.0,58.0,?,?,0.212,?,2.26,86.0,342.0,?,1
?,?,800.0,8.0,0.275,0.435,3.93,220.0,348.0,56.0,1
8.0,7.0,56.0,?,?,0.946,?,22.0,53.0,11.0,1
8.0,?,?,23.25,0.399,?,2.53,?,1208.0,?,1
?,2.0,?,0.286,?,?,10.0,10.0,10.0,1.0,1
7.0,46.0,?,?,0.155,0.5870000000000001,4.17,50.0,189.0,12.0,1
8.0,?,232.0,?,?,0.78,?,79.0,181.0,?,1
?,186.0,?,?,?,0.953,7.16,?,?,?,1
?,32.0,?,6.4,?,0.863,?,56.0,138.0,42.0,1
9.0,?,?,20.0,0.343,?,?,?,1196.0,225.0,1
?,?,78.0,?,?,?,1.64,?,?,?,1
12.0,?,1248.0,?,?,0.758,?,418.0,?,?,1
?,45.0,270.0,7.5,?,?,?,?,261.0,?,1
?,?,27.0,?,0.259,?,?,7.0,?,?,0
8.0,?,248.0,?,?,?,1.45,74.0,?,51.0,1
8.0,?,80.0,?,?,?,?,23.0,?,?,1
7.0,?,217.0,?,?,?,?,?,186.0,39.0,1
14.0,?,532.0,2.714,0.244,0.489,2.95,130.0,?,44.0,1
?,153.0,2142.0,10.929,?,?,?,813.0,1378.0,?,1
5.0,75.0,375.0,15.0,?,0.867,1.18,97.0,325.0,?,1
?,3.0,?,?,0.889,0.889,8.0,8.0,?,1.0,1
11.0,427.0,?,?,0.5660000000000001,0.57,189.79,?,?,?,0
?,38.0,266.0,5.428999999999999,0.308,0.789,1.55,82.0,?,?,1
?,?,?,?,0.442,?,?,?,419.0,65.0,1
?,43.0,387.0,?,0.47,0.948,?,?,?,?,1
3.0,538.0,?,179.33,0.37,?,22.11,?,685.0,27.0,0
?,?,324.0,4.0,?,?,1.82,?,?,?,1
2.0,?,202.0,50.5,?,0.743,?,?,?,10.0,0
8.0,?,216.0,3.375,?,0.685,1.31,?,?,?,1
8.0,?,896.0,?,0.17,?,?,?,?,?,1
?,12.0,120.0,?,0.333,0.958,?,40.0,115.0,?,1
?,100.0,?,?,?,0.987,?,198.0,?,?,1
?,71.0,852.0,5.917000000000002,0.631,?,?,?,?,81.0,1
?,?,112.0,1.75,0.518,0.964,?,?,108.0,?,1
12.0,118.0,?,9.833,?,0.778,?,495.0,1102.0,?,1
7.0,?,462.0,9.429,0.171,0.903,?,79.0,417.0,?,1
7.0,13.0,?,?,0.242,?,1.47,?,?,15.0,1
?,3.0,15.0,?,0.6,0.933,?,9.0,14.0,?,1
34.0,27.0,?,?,0.219,0.5539999999999999,?,201.0,509.0,65.0,0
?,?,153.0,1.889,?,0.647,?,36.0,?,?,1
11.0,8.0,88.0,?,0.443,0.466,39.0,39.0,41.0,1.0,1
9.0,16.0,144.0,1.778,?,?,1.5,?,103.0,20.0,1
?,66.0,?,1.048,?,0.591,?,2041.0,?,46.0,0
7.0,51.0,?,?,0.283,?,?,?,?,75.0,1
21.0,?,1428.0,3.238,0.052,0.109,5.69,74.0,?,13.0,0
?,?,?,?,0.265,?,1.71,?,77.0,?,1
9.0,107.0,963.0,11.889,0.371,0.65,2.59,?,?,?,1
?,103.0,?,9.364,0.156,0.5760000000000001,1.44,?,?,?,1
?,35.0,?,?,?,?,1.55,?,?,49.0,1
?,82.0,?,?,?,?,8.9,?,895.0,?,1
?,?,?,2.143,?,0.295,?,?,31.0,5.0,0
6.0,?,60.0,?,0.4,?,1.5,?,?,16.0,1
9.0,?,1350.0,?,0.237,?,1.75,320.0,782.0,?,1
?,?,216.0,?,0.356,?,2.2,77.0,?,35.0,1
1.0,?,?,?,?,?,9.67,29.0,35.0,3.0,0
11.0,?,?,?,?,0.5,2.04,787.0,?,?,1
10.0,?,340.0,3.4,?,?,?,?,277.0,?,1
8.0,?,?,?,?,0.903,?,231.0,?,112.0,1
?,?,?,?,0.355,0.775,?,?,1108.0,?,1
10.0,36.0,360.0,?,?,?,?,?,?,?,1
?,?,224.0,4.5710000000000015,0.232,?,?,?,?,?,1
?,371.0,5194.0,26.5,0.38,0.59,4.85,?,3066.0,?,1
?,86.0,?,?,?,?,?,?,?,109.0,1
9.0,166.0,?,18.44400000000001,0.386,?,2.95,?,?,195.0,1
?,?,90.0,0.9,?,1.0,?,?,90.0,?,1
9.0,?,999.0,?,0.218,0.81,?,?,?,?,1
9.0,?,?,?,0.259,0.6990000000000001,?,?,?,?,1
15.0,136.0,2040.0,?,?,0.748,?,489.0,1526.0,174.0,1
?,?,121.0,?,0.388,?,2.24,47.0,99.0,21.0,1
11.0,60.0,?,5.455,?,0.608,2.01,211.0,401.0,105.0,1
4.0,11.0,?,?,0.4320000000000001,?,1.36,19.0,?,14.0,1
13.0,?,?,28.846,0.154,0.519,?,?,?,521.0,1
?,?,?,1.0,?,0.939,1.89,17.0,?,9.0,1
3.0,?,?,9.0,0.481,0.926,?,?,75.0,?,1
2.0,?,12.0,?,?,?,4.0,8.0,12.0,?,0
9.0,23.0,207.0,2.556,?,0.507,1.57,?,105.0,28.0,1
9.0,110.0,?,?,0.311,?,2.08,308.0,?,?,1
?,157.0,?,?,0.222,?,1.58,?,?,198.0,1
9.0,172.0,?,?,?,0.6779999999999999,?,258.0,1050.0,?,1
9.0,81.0,?,?,?,0.918,1.97,246.0,669.0,?,1
?,?,2384.0,37.25,?,?,?,?,1886.0,383.0,1
?,?,3178.0,?,?,0.8390000000000001,3.34,?,?,?,1
?,?,?,2.286,0.259,?,2.07,?,?,?,1
8.0,?,320.0,?,0.481,0.988,?,?,316.0,?,1
10.0,21.0,?,?,?,?,?,?,172.0,36.0,1
8.0,152.0,1216.0,19.0,?,?,2.0,328.0,?,164.0,1
10.0,?,?,0.9,0.333,?,2.5,30.0,?,12.0,1
9.0,133.0,?,14.778,0.236,?,1.89,283.0,?,?,1
7.0,?,987.0,20.143,?,?,?,?,747.0,?,1
14.0,348.0,?,24.857,?,0.6759999999999999,?,822.0,?,?,1
6.0,?,102.0,2.833,0.451,?,2.56,46.0,?,?,1
8.0,127.0,?,15.875,0.314,?,1.98,319.0,838.0,?,1
?,?,?,10.375,0.294,?,2.17,?,634.0,?,1
?,?,576.0,?,0.345,?,?,?,?,?,1
1.0,?,?,?,0.469,?,1.88,15.0,?,?,0
82.0,314.0,?,3.829,?,0.502,?,?,?,?,1
2.0,6.0,?,?,0.667,1.0,4.0,?,12.0,?,0
9.0,284.0,?,31.556,0.141,?,?,?,1537.0,?,1
10.0,?,900.0,?,0.501,?,?,451.0,?,?,1
8.0,?,56.0,0.875,0.482,?,2.45,27.0,?,11.0,1
?,11.0,?,?,0.221,?,?,17.0,?,14.0,1
11.0,134.0,?,12.182,0.286,0.777,?,422.0,?,?,1
9.0,73.0,657.0,?,0.174,0.434,?,114.0,285.0,79.0,1
?,?,282.0,7.832999999999998,?,0.202,?,57.0,57.0,?,0
8.0,82.0,656.0,10.25,?,0.764,?,258.0,?,107.0,1
5.0,?,535.0,?,0.247,0.91,?,132.0,?,92.0,1
?,?,18.0,?,0.944,1.0,?,?,18.0,1.0,0
11.0,?,2255.0,?,?,?,3.01,?,1616.0,278.0,1
9.0,?,?,?,0.111,0.433,?,347.0,?,275.0,1
14.0,125.0,?,?,?,?,?,?,?,?,1
11.0,7.0,77.0,?,?,?,5.75,46.0,?,?,1
?,17.0,119.0,?,0.319,0.933,1.41,38.0,111.0,?,1
1.0,?,42.0,?,0.381,1.0,?,?,42.0,?,1
?,?,?,4.833,0.339,?,1.51,?,?,39.0,1
?,238.0,?,26.44400000000001,?,0.614,1.26,359.0,1316.0,?,1
?,?,96.0,?,0.396,0.969,1.65,?,93.0,?,1
2.0,19.0,?,?,?,1.0,?,9.0,?,5.0,1
12.0,?,?,22.667,0.219,0.589,1.8,715.0,1922.0,?,1
91.0,285.0,?,3.132,?,0.165,?,?,?,36.0,0
9.0,?,306.0,?,?,?,?,?,271.0,?,1
8.0,13.0,?,?,0.404,?,?,42.0,?,20.0,1
?,?,?,?,0.431,?,2.07,31.0,?,?,1
?,32.0,224.0,4.5710000000000015,0.272,?,1.53,61.0,193.0,40.0,1
10.0,?,2420.0,24.2,?,0.579,?,630.0,?,?,1
?,29.0,435.0,1.933,?,0.97,4.15,?,?,55.0,1
?,?,76.0,?,0.421,0.921,?,32.0,?,?,1
?,?,240.0,?,0.221,?,1.26,53.0,?,42.0,1
5.0,?,20.0,?,?,?,?,14.0,?,?,1
?,47.0,376.0,?,0.221,?,1.26,83.0,?,?,1
13.0,228.0,2964.0,17.538,?,0.942,3.29,?,?,?,1
?,228.0,?,?,0.282,?,?,?,?,?,1
?,98.0,?,?,0.463,?,2.72,454.0,?,167.0,1
?,?,?,4.375,?,?,1.76,90.0,?,?,1
?,?,296.0,4.625,?,0.993,1.29,?,?,77.0,1
?,?,294.0,6.0,0.235,0.5710000000000001,?,?,168.0,?,1
28.0,330.0,?,11.786,?,0.066,?,?,?,17.0,0
8.0,?,360.0,?,0.156,0.725,1.87,56.0,261.0,?,1
7.0,?,7.0,0.143,?,?,7.0,7.0,7.0,1.0,0
?,162.0,?,16.2,?,0.573,5.93,?,928.0,?,1
?,34.0,?,?,?,?,1.4,?,?,45.0,1
?,?,63.0,?,?,0.746,1.69,22.0,?,?,1
?,21.0,210.0,?,?,0.6,3.4,68.0,126.0,20.0,1
30.0,?,?,?,0.157,0.483,1.88,?,884.0,153.0,0
10.0,?,10.0,?,1.0,?,10.0,?,10.0,?,0
?,20.0,180.0,2.222,0.361,?,?,?,126.0,?,1
9.0,?,?,3.556,?,0.861,1.68,96.0,?,57.0,1
?,?,391.0,?,0.373,?,10.43,?,?,14.0,1
?,33.0,?,4.125,0.436,0.8859999999999999,1.89,115.0,234.0,61.0,1
?,24.0,216.0,?,0.213,0.468,1.28,46.0,101.0,?,1
12.0,?,?,9.75,0.231,0.7120000000000001,1.68,?,1000.0,?,1
8.0,525.0,?,?,?,0.444,1.34,?,1865.0,297.0,1
6.0,36.0,?,6.0,0.509,?,?,?,?,?,1
10.0,?,510.0,5.1,0.337,0.773,?,172.0,?,81.0,1
?,?,?,?,?,?,?,?,?,6.0,0
?,46.0,?,?,0.322,0.877,1.48,?,242.0,60.0,1
9.0,?,?,9.111,?,?,?,226.0,513.0,79.0,1
10.0,?,1650.0,?,0.258,?,?,?,?,258.0,1
?,261.0,2088.0,?,?,0.773,1.34,?,?,?,1
7.0,?,?,?,0.249,0.7709999999999999,1.29,?,1117.0,?,1
?,?,2241.0,27.667,?,0.7390000000000001,?,674.0,1655.0,?,1
53.0,48.0,2544.0,?,?,0.269,?,?,685.0,51.0,0
7.0,?,?,?,?,0.85,1.45,?,226.0,55.0,1
11.0,22.0,242.0,2.0,?,0.8640000000000001,?,?,?,19.0,1
7.0,?,98.0,2.0,?,0.7859999999999999,?,33.0,?,?,1
